FDRID,BatchName,Guarantor1,Quiet_Enjoyment1,Business_Interruption_Insurance1,Default_Interest_and_Late_Charges1,Renewal_option1,Termination1,Due_date1,Late_Fee1,Default_Interest_charges1,Renewal_option_Stated_in_the_Lease1,Renewal_option_Time_is_of_the_essence1,Termination_Stated_in_the_Lease1,Termination_Time_is_of_the_essence1
WS_00554,Batch_2020-05-18_00-23-16,Not Defined,"Landlord has the right, power and authority to enter into this Lease. Tenant, or any permitted assignee or sublessee of Tenant, upon the payment of the rental and performance of Tenant's other covenants, shall and may peaceably and quietly have, hold and enjoy the Leased Premises during the Term. This covenant shall be construed as a covenant running with the land. It shall not be construed as a personal covenant of Landlord.","Loss of Business Income Insurance, including Extra Expense (provided 1   however 1   Tenant may  self-insure  for  such  risk)  andContingentBusiness ineome eoverage. The insurance limits for this insurance shall be based upon a minimum of 12 months business income with a 60 day extended period of indemnity endorsement. ","All past due rental, additional rental, and other sums due Landlord under this Lease which are not paid within 10 days after written notice to Landlord sameare due shall bear interest from the due date until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping.Center islocated (the ""Interest Rate""). The interest shall be deemed to be additional rental. All rental provided for in this Lease shall be paid to Landlord at the address in the Reference Provisions or to another payee or address that Landlord designates.""Prime Rate"" wherever it appears in the Lease means the prime rate (or base rate ) reported in the Money Rates column or section of The Wall Street Journal as being the base rate on corporate loans at large U.S. money center commercial banks (whether or not that rate has been charged by any bank). If The Wall Street Journal ceases publication of the prime rate, Prime Rate shall mean the highest rate charged by BankOne (or its successor) on short term unsecured loans to its most creditworthy large corporate borrowers.  If The Wall Street Journal (i) publishes more than one prime rate or base rate, the higher or highest of the rates shall apply, or (ii) publishes a retraction or correction of that rate, the rate reported in that retraction or correction shall apply. ",Not Defined,Not Defined,which are not paid within 10 days after written notice to Landlord same are due ,"Tenant shall also pay Landlord, as liquidated damages, a late payment fee equal to the greater of$100.00 or 5% ofthe delinquent rental for each and every month, or part of every month that the rental remains unpaid","shall bear interest from the due date until paid by Tenant, at the rate of2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law ",Not Defined,Not Defined,Not Defined,Not Defined
WS_00823,Batch_2020-05-18_00-23-16,Not Defined,"So long as no default continues to exist which Tenant has failed to cure after any applicable notice and cure period set forth in this Lease, Tenant shall lawfully and quietly have, hold and enjoy the Premises during the Term without hindrance or molestation by Landlord or anyone claiming by, through or under Landlord, subject, however, to all mortgages, encumbrances, easements, underlying leases, and instruments of record to which this Lease may become subject from time-to-time, and the provisions of this Lease. ","he insurance pursuant to (a) and (b) above shall also include coverage for business interruption (including, without limitation, lost income and extra expense)  whether direct, contingent or interdependent","If Tenant fails to pay any Rent to Landlord when due, Landlord shall be entitled to (a) interest on the unpaid Rent at the Agreed Rate from the date payment is due until the datepayment is made and (b) a service charge equal to three percent (3%) of the overdue amount up to a maximum of $500.00 per instance. If payment is made by a check which is dishonored by the drawing bank, Tenant shall pay to Landlord a service charge equal to Fifty Dollars ($50.00). Tenant acknowledges the late payment of Rent or the use of a dishonored check by Tenant will cause Landlord to incur costs and expenses not contemplated by this Lease, the exact amounts of which will be extremely difficult to ascertain, and that the service charges represent fair estimates of the costs and expenses which Landlord would incur by reason of Tenant's late payment of Rent or use of a dishonored check. The imposition of such interest and service charges shall neither constitute a waiver of Tenant's default with respect to such overdue amount nor prevent Landlord from exercising any other right or  remedy available  to Landlord. Notwithstanding the foregoing to the contrary, for the first two (2) times in any calendar year that Tenant has failed to pay any Rent when due, the foregoing interest and service charge shall not apply unless Tenant has failed to make such payment within ten (10) days of receipt of Landlord's written notice of such delinquency. Landlord shall not be  to give Tenant such notice more than two (2) times in any calendar year prior to assessing the service charge. ",Not Defined,Not Defined,"If Tenant fails to pay any Rent to Landlord when due, ",Landlord shall be entitled to (a) interest on the unpaid Rent at the Agreed Rate from the date payment is due until the datepayment is made and (b) a service charge equal to three percent (3%) of the overdue amount up to a maximum of $500.00 per instance. ,"prime commercial rate of interest charged from time-to-time by Wells Fargo Bank, National Association (or, if the same does not exist, such other comparable bank selected by Landlord), plus two percent (2%) per annum, but not to exceed the maximum rate of interest allowable under law. ",Not Defined,Not Defined,Not Defined,Not Defined
WS_00826,Batch_2020-05-18_00-23-16,Not Defined,"If Tenant is  not  in  default  of  this Lease, }38)'8 tile  rents  BlHi  gtflcr  &ilHnmts  ft:rsiB j3f0 l'i8:8-;  8""882F'CS  anaf!Gr:feoos aU ths ss, ssams, tcrm:s otieBB horse?, Tenant shall peaceably and quietly hold and enjoy the Premises with appurtenances for the Lease Term without interruption by Landlord or any person or persons olsi  ú, g  ), tllreogh er oo8sr I:.an ih r8, subject, nevertheless, to theo?l sen8i terms and conditions of this Lease. ",Not Defined,"If Tc¯mt shaY fail te 13ay 8!1)  instaYmcm: sf P iinimtmJ: Rent, Perssntsge  Rfmt ?H   Bft)  item sf athliti?mal nmtr  itkiD the (:5)  as 8 aftsr G fiats the same Bceamc ?.htc and }38) aBle, theft TeE:ant shall tla:i ts bMLdhmi a late  a:;msmBGF?isc  char{;G ("":bate Char:g:"") ee; eF-ing aEilllinistrati' 2 and evefhcad 3Hfl2l1828 SE}Ual ts the grsatsr sf caa $2?Q.QQ er (@)3› per cacR Sellar ss e, er?1tHl.  Preúdsien hen m fer aymem efths bate Chwge Nothing contained herein shall set beconstrued to extend the date for payment of any sums  to be paid by Tenant hereunder or to relieve Tenant of its obligation to pay all such sums at the times herein stipulated. If the Commencement Date is other than the first day of a month, Tenant shall pay on the Commencement Date a prorated partial Minimum Monthly Rent for the period prior to the first day of the next calendar month,  and thereafter Minimum Monthly Rent payments shall be made not later than the first day of each calendar month. Any sum accruing to the Landlord  or Tenant under the provisions of this Lease that is not paid within ten (I 0) days following written notice that it is overdue (""Notice Period"") bears interest from the expiration of the Notice Period until paid at a rate equal to the lesser of (a) the maximum rate permitted by law and (b) at a rate equal to the prime  rate announced by Citibank, N.A. plus four percent (4%). ",Not Defined,Not Defined,Any sum accruing to the Landlord or Tenant under the provisions of this Lease that is not paid within ten (I 0) days following written notice that it is overdue ,"TeE:ant shall tla:i ts bMLdhmi a late a:;msm BGF?isc  char{;G ("":bate Char:g:"") ee; eF-ing aEilllinistrati' 2 and evefhcad 3Hfl2l1828 SE}Ual ts the grsatsr sf caa $2?Q.QQ er (@) 3› per cacR Sellar ss e, er?1tHl.  Preúdsien hen m fer aymem efths bate Chwge Nothing contained herein shall set be construed to extend the date for payment of any sums  to be paid by Tenant hereunder or to relieve Tenant of its obligation to pay all such sums at the times herein stipulated. ","bears interest from the expiration of the Notice Period until paid at a rate equal to the lesser of (a) the maximum rate permitted by law and (b) at a rate equal to the prime rate announced by Citibank, N.A. plus four percent (4%). ",Not Defined,Not Defined,Not Defined,Not Defined
WS_00834,Batch_2020-05-18_00-23-16,Not Defined,"So long as no Event of Default on the part of Tenant has occurred, Tenant has the right to peaceably and quietly have, hold and enjoy the Premises with all appurtenances for the Term and neither Landlord, nor Landlord's Agents, nor any party claiming under or through Landlord, may disturb the use or the occupancy of the Premises by Tenant, and Landlord must defend Tenant's right to such use and occupancy. ",Not Defined,"If Tenant fails to pay any installment of Minimum Rent or other rent due hereunder within 10 days after notice from Landlord of Tenant's failure to pay such rent when due, then Tenant will pay Landlord a late payment penalty equal to 5% of the overdue amount specified in Landlord's notice. ",Not Defined,Not Defined,If Tenant fails to pay any installment of Minimum Rent or other rent due hereunder within 10 days after notice from Landlord of Tenant's failure to pay such rent when due ,", then Tenant will pay Landlord a late payment penalty equal to 5% of the overdue amount specified in Landlord's notice.",Not Defined,Not Defined,Not Defined,Not Defined,Not Defined
WS_00865,Batch_2020-05-18_00-23-16,Not Defined,"So long as no Event of Default on the part of Tenant has occurred, Tenant has the right to peaceably and quietly have, hold and enjoy the Premises with all appurtenances for the Term and neither Landlord, nor Landlord's Agents, nor any party claiming under or through Landlord, may disturb the use or the occupancy of the Premises by Tenant, and Landlord must defend Tenant's right to such use and occupancy. "," During the Term following the Rental Commencement  Date, Landlord shall provide (a) in amounts and coverages determined by Landlord (but not less than the replacement cost of the property so insured),with or without  deductibles,  insurance  coverage  in the  form of an ""all-risk"" type policy  against loss ordamage by fire, flood, windstorm, hail, explosion, damage from aircraft and vehicles and smoke damage,and  such other risks  as are from  time  to time  included  in a standard  extended  coverage  endorsement,insuring  the  Shopping Center  and  the  leasehold  improvements  to  the  Premises  (exclusive  of  Tenant'smerchandise,  trade  fixtures,  furnishings,  equipment,  plate  glass,  signs  and  all  other  items  of  personal 27         property  of Tenant);  and (b) to the extent the same is available in the market during such period,  rental28         interruption insurance , w hich insurance may be carried in amounts equal to Tenant's total Rental obligationfor twenty-four  (24) months under this Lease plus the total of the estimated costs to Tenant of Taxes andOperating  Costs and Expenses  for such twenty-four (24) months .   Upon  Landlord's request, Tenant shall 31        submit to Landlord  a statement setting forth the cost of Tenant's leasehold improvements which request shall not be made earlier than ninety (90) days after completion thereof. Landlord at its option may carry aspecial extended coverage endorsement ","If Tenant fails to pay any installment of Minimum Rent or other rent due hereunder within 10 days after notice from Landlord of Tenant's failure to pay such rent when due, then Tenant will pay Landlord a late payment penalty equal to 5% of the overdue amount specified in Landlord's notice. ","Landlord hereby grants Tenant the option to extend the Term of this Lease for two (2), six(6) year periods.   The first option period shall commence on February 1, 2018 and shall expire on January31, 2024 (the ""First Option Period"") and the second option period shall commence on February  1, 2024 andshall expire on January 31, 2030 (the ""Second Option Period"") on the same terms and conditions contained 47        in this Lease except that the Minimum Annual Rental shall increase as provided in Section 1.02 of the Data 48         Sheet and  no additional  options to extend the Term  shall apply  following the  expiration  of the Second Option Period; provided, however, Tenant shall have no right to extend the Term of this Lease at any timeTenant is in default under this Lease beyond  any applicable notice and cure periods.   Written  notice of Tenant's exercise of its option to extend the Term of this Lease must be given to Landlord at least ninety(90) days prior to the date the Term of the Lease or the First Option Period would otherwise expire.  Theright to extend the Term of this Lease is personal to Tenant so long as Tenant is operating under the Trade Name  or  such  other  Trade  Name  permitted  hereinunder  and  shall  automatically  terminate  upon  anyassignment, transfer, hypothecation or encumbrance of this Lease requiring the consent of Landlord (unlessLandlord has provided consent). ","After the expiration of the sixth (61h) full lease year, Tenant shall have the right to terminate this Lease. The right to terminate this Lease must be exercised, if at all, by written notice from Tenant toLandlord, within thirty (30) days after the last day of the sixth (6th) lease year. The termination of theLease shall be effective ninety (90) days after receipt by Landlord of such notice.   The right hereingranted to Tenant shall be null and void if Tenant is in default under the terms and conditions of thisLease at the date of Tenant's notice or if Tenant has not been open and operating in accordance with thisLease for the previous twelve month period.  In the event Tenant exercises its right of termination asprovided herein, Tenant shall pay to Landlord, concurrent with delivery ofTenant's notice of termination, one-half (112) of the unamortized portion  of the Tenant Allowance set forth in the Addendum to ExhibitB (such amortization to be on a straight-line basis over a ten (10) year period).  In the event Tenant doesnot exercise its right to terminate as set forth herein, Tenant shall be deemed to have waived such rightand this Section 2.03(c) shall be of no further force or effect. ",If Tenant fails to pay any installment of Minimum Rent or other rent due hereunder within 10 days after notice from Landlord of Tenant's failure to pay such rent when due ,", then Tenant will pay Landlord a late payment penalty equal to 5% of the overdue amount specified in Landlord's notice.","f Tenant has received two (2) or more written notices of nonpayment from Landlord underthis Lease  within  the  preceding  twelve  (12)  months)  (including,  without  limitation,  amounts  due  asreimbursement to Landlord for costs incurred by Landlord in performing  obligations of Tenant hereunderupon Tenant's failure to so perform) shall bear interest at the lesser of (a) the ""Prime Rate"" as published in 23        Wall Street Journal plus two percent (2%); or (b) the highest mte then allowed under the usury laws of the state where the Development is located from the date due until paid, ",option to extend,Time is of the essence  in the performance  of this  Lease.,terminate,Time is of the essence  in the performance  of this  Lease.     N
WS_00877,Batch_2020-05-18_00-23-16,Not Defined,"The Tenant, subject to the terms and provisions of this lease on payment of the rent and observing, keeping and performing all of the terms and provisions of this lease  on its part to be observed, kept and performed, shall lawfully, peaceably and quietly have,hold, occupy and enjoy the demised premises during the term hereof without hindrance orejection by any persons lawfully claiming under the Landlord; but it is understood  and agreed that this covenant and any and all other covenants of the Landlord contained in this lease shall be binding upon the Landlord and the Landlord's successors only with respect to breaches occurring during the Landlord's and the Landlord's  successors' respective ownership of the Landlord's interest hereunder.   In addition, the Tenant specifically agrees to look solely to the Landlord's interest in the Commercial Unit for recovery of any judgment  from the Landlord; it being specifically agreed that neither the Landlord nor anyone claiming under the Landlord shall ever be personally liable for anysuch judgment.   In no event shall Tenant have the right to terminate or cancel this lease asa result of any default by Landlord or breach by Landlord of its covenants or any warranties or provisions hereunder, except in the case of a wrongful eviction ofTenant from the demised premises (constructive or actual) by Landlord. It is further understood and agreed that the Landlord shall in no event be liable for failure to perform any obligation under this lease in the event the Landlord is prevented from so performing by strike, lockout, breakdown, accident, order or regulation of or by any governmental authority, or failure of supply, or inability by the exercise of reasonable diligence to obtain supplies, parts, or employees necessary to furnish such services: or because of waror other emergency, or for any cause beyond the Landlord's reasonable control, or for any cause due to any act or neglect of the Tenant or its servants, agents, employees, licensees, or any person claiming by, through or under the Tenant, or any termination for any reason of the Landlord's occupancy of the premises from which any service or work is being supplied by the Landlord (collectively, a ""Force Majeure Event""), and in no event shall the Landlord ever be liable to the Tenant for any indirect or consequential damages or  loss of profits or the like. ",Not Defined,"The Tenant covenants and agrees to pay without notice, demand or offset to the Landlord, at the Landlord's office in Boston, Massachusetts, or at such place as the Landlord shall from time to time designate in writing, minimum rent for said premises at the rate specified in Section 1.1(g) hereof, and proportionately at such rate for any partial month, which minimum rent shall be paid monthly, in advance, on the firstday of each and every calendar month  during the term hereof, the first such payment to be made on the Commencement  Date; provided, however, that Landlord has delivered to Tenant a Subordination, Non-Disturbance  and Attornment Agreement (""SNDA"") in commercially reasonably form from Landlord's lender (and any other party whose interest in the demised premises is superior) as of the Commencement Date.  If Landlord has not delivered an SNDA by the Commencement Date, the term shall nonetheless commence and all of Tenant's obligations shall commence, including the obligation to open for business to the public, but minimum rent shall accrue but not be payable until Landlord so delivers to Tenant the SNDA.  Upon Tenant's receipt of the SNDA, all accrued but unpaid minimum rent shall be immediately due and payable. For and with respect to each installment of minimum rent that is not paid when due, the Tenant shall pay to the Landlord on demand, as additional rent, a late charge in an amount equal to four percent (4%) of the overdue payment for the purpose of defraying Landlord's administrative expenses relative to handling such overdue payment. ","If this lease is still in force and effect, then Tenant shall have the right and option to extend the term hereof for two (2) successive six (6) year options of extension, provided the Tenant shall (i) give written notice (the ""Notice"") to the Landlord of the exercise of such applicable option not later than two hundred seventy (270) days prior to the expiration of current term (initial or extended) hereof, time being of the essence thereof and (ii) Tenant shall not be in default of any of its obligations hereunder after the expiration of applicable periods of notice and grace on the date of the Notice and on the last day of the current term (initial or extended) hereof and (iii) it shall be a condition to the exercise of the second option period that Tenant promptly and timely exercise the first option period. If said options are duly exercised as aforesaid and no such uncured default exists, the term of this lease shall be automatically extended for the next ensuing option without the requirement of any further instrument upon all of the same terms and provisions contained in this lease except that minimum rent shall be payable at the following rates: For and with respect to the period commencing on the first day of the first option period continuing through the end of the fourth (41h) full lease-year of the first option period (""First Option Rental Period""), minimum rent shall be payable at the rate paid during the Third Period as increased by the lesser of (i) the increase in the Price Index plus one percent (1%) or (b) ten percent ( 10%). Such amount shall be payable on a monthly basis; and  For and with respect to the period commencing on the day immediately following the expiration of the First Option Rental Period and continuing through the end of the first option period, minimum rent shall be payable at the rate paid during the First Option Rental Period as increased by the lesser of (i) the increase in the Price Index plus one percent (1%) or (b) ten percent (10%).  Such amount shall be payable on a monthly basis; and  For and with respect to the period commencing with first day of the second option period and continuing until the end of the second (2nd) full lease-year of the second option period (""Second Option Rental Period""), minimum rent shall be payable at the rate paid during the immediately preceding year. Such amount shall be payable on a monthly basis; and  For and with respect to the period commencing immediately following the expiration of the Second Option Rental Period and continuing until the expiration of second option period, minimum rent shall be payable at the rate paid during the second option rental period as increased by the lesser of (i) the increase in the Price Index plus one percent (1%) or (b) ten percent.   Such amount shall be payable on a monthly basis.  ",Not Defined,on the first day of each and every calendar month ,late charge in an amount equal to four percent (4%) of the overdue payment,interest from the applicable due date until received by the Landlord at the lesser of: (i) four percent (4%) per annum above the base rate announced from time to time by Bank of America or its successors; or (ii) the highest lawful rate of interest permitted at the time,option to extend,Time is of the essence with respect to any and all notices and periods for giving of notice or taking any action thereto under this Lease.,Not Defined,Not Defined
WS_00884,Batch_2020-05-18_00-23-16,Not Defined,"If Tenant is not in default of this Lease, flaJ'S th8 rgnts aHa eth!lr ailletrnts l'l8r8in f!revi?i8?i, el:Jsgrvgs aHa fl8Fffll lls all th8 gevgnants, t!lflllS aHa geneitiens llgreef, Tenant shall peaceably and quietly hold and enjoy the Premises with appurtenances for the Lease Term without interruption by Landlord or any person or persons gJaimmg l:Jy, tllreagl'l er ooe!lr LaH?iler?i , subject, nevertheless , to the terms and conditions of this Lease . ",Not Defined,"If T<:fl!l:flt shall fail t?l ray afl)' installm?lflt Elf MinirHUlll R?lnt, Per?l<:fltag?l R?lflt ?lr afl)' it<:tll  ?lf  ad?liti?lnal  r?lnt within five (?) ?lays aft<:r th?l elat<: th?l Sam?l @s?laBl?l elue 8:fl?l rayool?l, th?lfl Tefl!l:flt shall ray t?l L8:fl?ll?lr?l a lat<: IJa)'l1'l:?lflt s<:rvi?l<: ?lharg?l (""Lat<: Charge"")  e?lvering aelmmistrativ?l !l:flel ?lV?lrhea?l eXIJ?lnses ?l?!:Ual t?l the gr?latsr Elf (a) $2?Q.QQ ?lr (@)?› IJ?lr ?la?lh ?l?lHar 8?l ?lV?lr?lu?l .  Pr?lvisi?ln h?lr?lin fur fla)'l1'l:?lnt ?lfth?l Lat?l Charg?l Nothing contained herein shallll@t be construed  to  extend  the  date  for  payment   of  any  sums    to  be  paid  by  Tenant  hereunder   or to  relieve  Tenant  of  its obligation  to  pay  all  such  sums  at the  times  herein  stipulated.    If the  Commencement  Date  is  other  than  the  frrst  day  of a month,   Tenant   shall  pay   on  the   Commencement   Date   a  prorated   partial  Minimum   Monthly  Rent  for  the  period  prior  to the  first  day  of  the  next   calendar  month,   and  thereafter   Minimum   Monthly   Rent  payments   shall  be  made  not  later  than the  first  day  of  each  calendar  month.    Any   sum  accruing   to  the Landlord   or   Tenant  under  the provisions    of  this  Lease that  is  not paid    within   ten   (10)  days following     written   notice   that  it  is  overdue   (""Notice Period'   bears  interest from the  expiration   of  the Notice  Period   until paid   at  a  rate  equal  to  the lesser  of   (a)  the maximum  rate permitted    by  law and   (b)  at  a  rate  equal  to  the prime   rate  announced  by   Citibank, N.A. plus  four   percent    (4%).    For  purposes   ofthis Lease,   a   ""Major  Tenant""   is  herein   defmed   as  a  single  tenant   occupying  at  least  80,000   contiguous   square  feet  of  floor area operating  under  a single trade name.   If a?l?liti?lnal  Maj?lr  Tenants  ar<: a?hi<:el t?l  the  C<:flt<:r  ?lr  8:fl  existiflg Maj?lr T?lnaflt is r?liJla?l<:?l @y a Maj?lr T?lflaflt ?lfhigh<:r ?!:Ualit)', th<: MinirHUlll Annual R?lflt !l:flel Mmi11'l:tllll M?lnMtly R?lflt h<:reifl IJF?lvi?le?l f?1r sf!all aut?lmati?lally @e in?lr?las?l?l tefl rer?l<:flt (lQ%) at th?l tirHe <:aeh a?l?liti?lnal ?lr higher ?}Ualit)' Maj?lr T?lflaflt ?liJefls fur @usmess.  In a?l?liti?lii t?1 th?l fur?lg?ling, if Laii?ll?lr?l sf!all, at !l:fl)' tim?l eltling th?l t?lflll ?lf this L?las?l, r?lfl?lvate ?lr ?ll""fl8:l'l?l tile C<:flt?lr, th?l e?lst ?lf whi?lh <:Jte?l<:as Ten Milli?lfl ""9?lllars ($1Q,QQQ,QQQ.QQ), th<: Po'lini11'l:tl11'l: Rem h<:r?lm flr?lvi?ie?i fur shall aut?lmati?lally @?! in?lr?las?la t?ln fl?lre?lflt (lQ%) UIJ?ln th<: first ?lay ?lf th?l m?lnMt full?lwing M1e ?l?llllJl<:ti?ln  ?lf 8U?lfl ren?lVati?lfl  ?lr  ?llql8:flSi ",Not Defined,Not Defined,n advance  upon  the  first  day  of  each  and  every month,e?lvering aelmmistrativ?l !l:flel ?lV?lrhea?l eXIJ?lnses ?l?!:Ual t?l the gr?latsr Elf (a) $2?Q.QQ ?lr (@) ?› IJ?lr ?la?lh ?l?lHar 8?l ?lV?lr?lu?l ,"Any  sum  accruing   to  the Landlord   or   Tenant  under  the provisions    of  this  Lease that  is  not paid    within   ten   (10)  days following     written   notice   that  it  is  overdue   (""Notice Period'   bears  interest from the  expiration   of  the Notice  Period   until paid   at  a  rate  equal  to  the lesser  of   (a)  the maximum  rate permitted    by  law and   (b)  at  a  rate  equal  to  the prime   rate  announced  by   Citibank, N.A. plus  four   percent    (4%)",Not Defined,Not Defined,Not Defined,Not Defined
WS_00904,Batch_2020-05-18_00-23-16,Not Defined,"Landlord covenants that it has full right, power and authority to enter into this Lease and that Tenant, upon performing all of Tenant's obligations under this Lease and timely paying all Rent, shall peaceably and quietly have, hold and enjoy the Leased Premises during the Term without hindrance, ejection or molestation by any person lawfully claiming by, through or under Landlord, subject, however, to all Mortgages, encumbrances, easements, and matters of record to which this Lease is or may become subject. Landlord represents and warrants to Tenant that Tenant, while operating its business  in the Leased Premises  in accordance with the terms and conditions of this Lease, will not be in violation of (a) any exclusives or any other agreements which Landlord may have with any third party, and (b) any covenants, conditions, restrictions, easements, mortgages,  deeds  of  trust, leases, and rights of way affecting the Leased Premises. Furthermore, Landlord represents and warrants to Tenant that the Leased Premises is zoned for retail use. ","Business interruption, loss of income and extra expense insurance in amounts  ",A rate per annum equal to the lesser of : (i) the Prime Rate as quoted in the Wall Street Journal plus six (6%) percent; or (ii) the maximum rate as permitted by law.  ,"Subject to the following terms and conditions, Tenant shall have the option to extend the Term hereof for one (1) additional period of ten (10) years (hereinafter ""Option Period""), provided that at the time of the exercise, Tenant is not in Default under any of its obligations under the Lease. Tenant may exercise such option by giving Landlord written notice of its intent to exercise said option, such notice to be received by Landlord at least nine (9) months prior to the expiration of the Term. All of the terms and conditions contained herein shall apply during the Option Period including without limitation the increases in Minimum Rent as set forth in Section l.l.G of the Lease. If such option is not timely exercised, Tenant's right to renew shall expire and the Lease shall terminate at the end of the Term.",Not Defined,on the first day of each and every calendar month,an amount equal to Twenty Dollars ($20.00) per day from the date such Rent is due until the date such Rent is received.,rate per annum equal to the lesser of : (i) the Prime Rate as quoted in the Wall Street Journal plus six (6%) percent; or (ii) the maximum rate as permitted by law. ,OPTION TO EXTEND ,Time is of the essence with respect to each and every obligation arising under this Lease.,Not Defined,Not Defined
MAK-115,Batch_2020-05-20_11-05-34,"WILLIAMS -SONOMA, INC., a California                     (""Guarantor"").  Guarantor doeson behalf of itself, its successors and assigns,                        covenant and agree with Landlord. its successors and  that  Tenant  is a  wholly  owned  subsidiary  of  Guarantor,  and  that  if default  shall  at  any  time  under  the  Lease            be made by Tenant, its successors and assigns, in the                or any monthly installment of rent. or additional rent.. or in the performance of any of the terms. covenants and conditions of the Lease, and if the defaul! shall not have been cured within the  time  specified  in  the  Lease  for  the  same  following  notice  from Landlord, then Guarantor will well and truly pay on demand in cash the monthly installment  or rent  and additional rent and cure such other default as the case may be together with such costs and expenses (including without limitation reasonable attorney  fees)  incurred  by  Landlord  as a result  of or arising out or the default for which Tenant, its successors and          are obligated to pay  to Landlord  pursuant  to the terms ofthe Lease . This Guaranty shall include any liability of' Tenant which shall accrue under the Lease for any period  as well as any period following the term of the Lease. ","Landlord has the right, power and authority to enter into this Lease. Tenant, or any permitted assignee or sublessee of Tenant, upon the payment of the rental and performance of Tenant's other covenants. shall and may peaceably and quietly have. hold and enjoy the Leased Premises during the Term. This covenant shall  be  construed  as a covenant running with the land.  It shall not be construed as a personal covenant of Landlord.","Loss of Business Income  Insurance.  including  Extra Tenant may self-insure for such  (provided, risk) however, income coverage.    The insurance  limits for this insurance  shall be based  upon  a minimum of  12months business  income  with  a 60  day-e ttled-p eHtlrit:y:....eHdOFSeJnettt ","All past clue rental, additional rental, and other sums due Landlord under this Lease which are not paid  within  10  days   after   written   notice   to   Landlord   same are due shall bear interest from the due date until paid by Tenant, at the rate of 2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate""). The interest shall be deemed to be additional rental. All rental provided for in this Lease shall be paid to Landlord at the address in the Reference Provisions or to another payee or address that Landlord designates.  ""Prime Rate"" wherever it appears in the Lease means the prime rate (or base rate ) reported in the Money Rates column or section of The Wall Street Journal as being the base rate on corporate loans at large U.S. money center commercial banks (whether or not that  rate has been charged by any bank). lf úrhe Wall Street Journal ceases publication of the prime rate, Prime Rate shall mean the highest rate charged by Bank One (or its successor) on short term unsecured loans to its most creditworthy large corporate borrowers. If The Wall Street Journal (i) publishes more than one prime rate or base rate, the higher or highest of the rates shall apply, or (ii) publishes a retraction or correction of that rate, the rate reported in that retraction or correction shall apply. ",Not Defined,Not Defined,within  10  days   after   written   notice   to   Landlord   same are due ,Not Defined,"shall bear interest from the due date until paid by Tenant, at the rate of 2% above the Prime Rate (as defined below), not to exceed the maximum rate of interest allowed by law in the state where the Shopping Center is located (the ""Interest Rate""). ",Not Defined,Not Defined,Not Defined,Not Defined
MAK-116,Batch_2020-05-20_11-05-34,Not Defined,Not Defined,Not Defined,"Without prejudi ce to the rights and remedies of the Lesso r  under  the Lease or under the  appli cable law ,  if the Lessee fails to make any payments to the Lessor of the Payments at the time or times or within the periods specified in the Lease,   the Lessee shall pay to Lessor the Late Payment Charge, being Dhs. 5,000/- per occurrence,   and the Lessor may also charge the Lessee interest on all due amounts , calculated at the rate of five per cent (5%) above the Base Lending Rate   as quoted by the Emirates NBD  PJSC' s principal office from time to  time and computed from  the date on which the relevant  amounts are due i n accordance with thi s Lease until the date of their actual payment.",Not Defined,"Lessee acknowledges and accepts that the Lessor may, at any time during the Lease Period, undertake a re-development programme (""Programme"") for the benefit of the Centre. In case the Programme is implemented in the area where the Premises is located and if the Premises is directly or indirectly impacted, then the Lessor will have the right to terminate the Lease prior to the expiry of the Lease Period subject to the following conditions: a 60 days  (""Notice  Period }  advance  written  notice  of  tennination  of  the Lease(""Notice of Termination') will be served by the Lessor on the Lessee; "," the Lessee fai ls  to make any payments to  the Lessor  of the  Payments at the time  or times or withi n the  periods specified in  the Lease,  ","the Lessee shall pay to  Lessor the Late Payment Charge,  being Dhs. 5,000/- per occurrence, ","and the Lessor may also charge the Lessee interest on all due amounts , calculated at the rate of five per cent (5%) above the Base Lending Rate ",Not Defined,Not Defined,Termination,Lessee acknowledges and accepts that time  is of  the absolute essence in the performance by the Lessee of its obligations  as stipulated  hereunder
MAK-117,Batch_2020-05-20_11-05-34,Not Defined,"Landlord hereby covenants and agrees that so long as Tenant is not in default hereunder beyond applicable notice and cure periods, Tenant shall at all times during the continuance hereof have the peaceable and quiet enjoyment and possession of the Premises without any manner of hindrance from Landlord or any person or persons claiming the Premises. ",Not Defined,"Each rental payment payable hereunder by Tenant to Landlord shall bear interest at the Prime Rate, as published by Citibank from time to time, plus two percent (2%) per annum from the date same shall become payable under the terms of this Lease until the same shall be paid; provided, however if such rental payment is made within ten (10) days of the due date such interest charge shall not be applicable. ",Not Defined,Not Defined,if such rental payment is made within ten (10) days of the due dat,Not Defined,"Each rental payment payable hereunder by Tenant to Landlord shall bear interest at the Prime Rate, as published by Citibank from time to time, plus two percent (2%) per annum from the date same shall become payable under the terms of this Lease",Not Defined,Not Defined,Not Defined,Not Defined
